GISJOIN,TRACTA,Total_Population,Total_Italian_Demographic,Italian_1st_Generation,Italian_Americans,Non_Italian_Population,Median_Age,Median_Rent,Median_Family_Income,White_Collar_Workers,Blue_Collar_Workers,Pct_White_Collar,Pct_Blue_Collar
G25002500301,301,2161,1543,286,1257,618,37.7,158,11529.13,631,283,0.5619,0.252
G25002500302,302,1470,1160,269,891,310,38.4,157,9611.34,527,129,0.6774,0.1658
G25002500303,303,2832,765,64,701,2067,39.4,424,21037.23,1766,66,0.9006,0.0337
G25002500304,304,2499,1751,383,1368,748,37.7,169,12199.37,993,221,0.6598,0.1468
G25002500305,305,2378,996,226,770,1382,28.6,170,13061.22,629,242,0.6137,0.2361
