GISJOIN,TRACTA,Total_Population,Total_Italian_Demographic,Italian_1st_Generation,Italian_Americans,Non_Italian_Population,Median_Age,Median_Rent,Median_Family_Income,White_Collar_Workers,Blue_Collar_Workers,Pct_White_Collar,Pct_Blue_Collar
G2500250030100,301,1963,789,65,724,1174,31.2,959,52691,1267,17,0.8923,0.012
G2500250030200,302,1534,590,65,525,944,31.1,1016,43125,946,55,0.8663,0.0504
G2500250030300,303,4074,787,119,668,3287,43.0,1232,70854,2153,104,0.8878,0.0429
G2500250030400,304,2222,778,141,637,1444,30.9,1012,50051,1382,62,0.8552,0.0384
G2500250030500,305,2321,714,64,650,1607,32.5,1149,63488,1536,89,0.8668,0.0502
