GISJOIN,TRACTA,Total_Population,Total_Italian_Foreign_Stock,Italian_1st_Generation,Italian_Americans,Non_Italian_Population,Median_Age,Median_Rent,Median_Family_Income,White_Collar_Workers,Blue_Collar_Workers,Pct_White_Collar,Pct_Blue_Collar
G25002500301,301,3204,1839.0,860.0,979.0,1365.0,38.5,94.63,8517.86,543.0,749.0,0.3742,0.5162
G25002500302,302,1924,1318.0,654.0,664.0,606.0,40.9,96.01,8886.79,281.0,472.0,0.319,0.5358
G25002500303,303,939,104.0,12.0,92.0,835.0,33.4,208.79,11107.14,552.0,34.0,0.8638,0.0532
G25002500304,304,3033,1924.0,910.0,1014.0,1109.0,40.1,91.7,7917.81,610.0,585.0,0.4559,0.4372
G25002500305,305,2010,1229.0,636.0,593.0,781.0,34.1,91.48,7961.54,208.0,403.0,0.2845,0.5513
