GISJOIN,TRACTA,AREANAME,Total_Population,Total_Italian_Foreign_Stock,Italian_1st_Generation,Italian_Americans,Non_Italian_Population,Median_Age,Median_Rent,Median_Family_Income,White_Collar_Workers,Blue_Collar_Workers,Pct_White_Collar,Pct_Blue_Collar
G2500250F0001,1,TRACT F-1   BOSTON CITY,4821,1773,801,972,3048,24.2,56.16,4614.04,146,360,0.2226,0.5488
G2500250F0002,2,TRACT F-2   BOSTON CITY,3423,2365,951,1414,1058,35.5,55.56,4640.62,202,483,0.2371,0.5669
G2500250F0003,3,TRACT F-3   BOSTON CITY,257,100,45,55,157,39.5,64.75,5500.0,60,28,0.5085,0.2373
G2500250F0004,4,TRACT F-4   BOSTON CITY,3595,2438,1083,1355,1157,37.6,57.22,4990.68,263,504,0.2807,0.5379
G2500250F0005,5,TRACT F-5   BOSTON CITY,2150,1464,638,826,686,36.6,60.79,4938.05,138,338,0.2392,0.5858
G2500250F0006,6,TRACT F-6   BOSTON CITY,1276,113,39,74,1163,55.0,47.53,4950.0,162,159,0.3,0.2944
