GISJOIN,TRACTA,Total_Population,Total_Italian_Demographic,Italian_1st_Generation,Italian_Americans,Non_Italian_Population,Median_Age,Median_Rent,Median_Family_Income,White_Collar_Workers,Blue_Collar_Workers,Pct_White_Collar,Pct_Blue_Collar
G25002500301,301,1954,887,108,779,1067,,614,31861,1030,126,0.7899,0.0966
G25002500302,302,1625,781,148,633,844,,589,22663,612,159,0.6545,0.1701
G25002500303,303,3774,715,91,624,3059,,911,40926,1937,55,0.9051,0.0257
G25002500304,304,2340,650,101,549,1690,,632,28728,1436,114,0.8145,0.0647
G25002500305,305,2050,799,182,617,1251,,701,34201,1031,111,0.738,0.0795
