GISJOIN,TRACTA,Total_Population,Total_Italian_Demographic,Italian_1st_Generation,Italian_Americans,Non_Italian_Population,Median_Age,Median_Rent,Median_Family_Income,White_Collar_Workers,Blue_Collar_Workers,Pct_White_Collar,Pct_Blue_Collar
G2500250F0001,F-1,3861,,947,,,27.2,19.34,2053,205,870,0.1743,0.7398
G2500250F0002,F-2,4234,,1208,,,29.9,21.35,2455,385,1038,0.2426,0.6541
G2500250F0003,F-3,722,,83,,,24.2,28.5,0,98,97,0.4828,0.4778
G2500250F0004,F-4,4935,,1474,,,31.4,22.33,2373,511,1183,0.2714,0.6283
G2500250F0005,F-5,3020,,855,,,30.1,21.7,2297,306,799,0.255,0.6658
G2500250F0006,F-6,1476,,40,,,49.2,62.23,1547,235,164,0.3878,0.2706
