GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DGO001,DG0001,DG0002,DG0003,DG0004,DG0005,DG0006,DG0007,DG0008,DG0009,DG0010,DG0011,DG0012,DG0013,DG0014,DG0015,DG0016,DG0017,DG0018,DG0019,DG1001,DG1002,DG1003,DG1004,DG1005,DG1006,DG6001,DG6002,DG6003,DG6004,DIB001,DIB002,DIB003,DIB004,DIB005,DIB006,DIB007,DIB008,DIB009,DIB010,DIB011,DIB012,DIB013,DID001,DID002,DID003,DID004,DID005,DID006,DID007,DID008,DID009,DID010,DID011,DID012,DID013,DID014,DID015,DID016,DID017,DIZ001
"G25001703687","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","235","4440","3687",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3687","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0",2604,0,108,266,19,6,0,321,498,0,6,0,7,29,0,4,130,870,23,317,329,370,32,377,334,27,1840,346,21,397,101,103,57,69,222,0,10,118,0,207,233,36,81,50,102,30,98,84,112,150,84,51,52,51,29,44,29,17,18,4,6582
"G25001703688","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","235","4440","3688",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3688","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",4891,7,192,376,19,10,51,691,684,5,19,0,12,6,26,5,753,1296,59,680,503,415,59,850,397,69,3404,374,301,812,140,235,112,170,654,12,50,235,19,404,274,41,89,87,225,176,132,167,133,127,128,128,61,93,74,152,39,72,76,3,7113
"G25001703689","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","235","4440","3689",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3689","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0",8599,0,566,399,137,141,82,1110,1079,14,100,36,168,69,96,6,1002,2457,262,875,940,540,504,1211,664,267,5771,1792,103,933,670,718,250,444,1112,12,87,511,44,355,239,91,136,70,203,203,143,208,183,197,241,195,154,214,123,302,144,145,126,58,8415
"G25001703690","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","235","4440","3690",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3690","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2166,0,58,27,12,0,0,104,86,0,0,6,6,20,6,7,119,257,13,1445,78,24,27,193,79,6,1650,291,0,225,59,97,6,31,98,0,6,124,0,78,12,0,0,0,6,10,12,5,16,8,24,12,17,13,0,28,17,32,6,0,4301
"G25001703691","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","235","4440","3691",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3691","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0",5388,0,311,234,50,55,0,1059,545,5,27,14,41,32,27,0,434,1900,140,514,732,474,320,1097,359,67,4245,627,39,477,391,467,123,280,607,0,64,221,12,301,109,94,111,23,73,84,91,69,158,171,84,167,91,146,189,191,125,139,59,15,8369
"G25001703701","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","240","4530","3701",,,"07",,,,"4530",,"C",,"E",,,"State: 25 County: 017 Tract: 3701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",13785,0,647,188,166,358,5,2556,3203,23,147,60,151,147,34,5,1152,3755,562,626,1312,626,528,2186,1066,179,9823,1920,54,1988,679,1263,302,552,1831,13,148,772,16,854,645,217,249,150,374,426,306,342,375,429,401,450,313,297,332,361,322,223,166,9,7886
"G25001703702","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","240","4530","3702",,,"07",,,,"4530",,"C",,"E",,,"State: 25 County: 017 Tract: 3702","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",9223,18,698,96,100,269,19,1448,1179,6,89,50,130,69,89,23,1577,2635,359,369,982,389,434,1242,542,223,6029,1824,88,1282,618,1350,273,412,988,19,109,345,10,490,202,78,107,34,123,192,211,194,241,257,171,223,238,262,195,335,179,251,238,34,9303
"G25001703703","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","240","4530","3703",,,"07",,,,"4530",,"C",,"E",,,"State: 25 County: 017 Tract: 3703","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5585,51,223,25,31,290,6,701,1118,7,54,11,24,79,6,5,1216,1391,97,250,452,271,212,706,406,84,3245,657,32,1651,345,528,84,264,596,10,44,241,12,361,275,82,91,47,182,195,226,179,192,208,214,126,150,129,103,123,52,80,26,0,7153
"G25001703704","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","240","4530","3704",,,"07",,,,"4530",,"C",,"E",,,"State: 25 County: 017 Tract: 3704","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0",5791,12,348,109,82,212,0,1081,810,17,57,14,82,123,25,8,885,1401,253,272,584,201,206,571,262,74,3338,1162,53,1238,259,683,131,172,628,16,55,377,5,370,245,60,91,84,95,141,178,213,192,167,176,231,153,112,108,177,70,101,59,17,8084
"G25001703731","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3731",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3731","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0",5296,35,488,59,74,59,28,920,432,11,62,8,159,132,29,5,519,1567,249,460,660,250,337,787,233,104,2947,1665,47,637,378,981,126,168,525,12,54,191,5,217,114,83,58,52,147,101,130,159,127,112,123,179,126,102,124,170,113,101,90,56,9176
"G25001703732","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3732",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3732","0","0","1","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0",4749,0,160,172,27,30,0,446,1908,0,45,24,38,37,11,0,289,886,169,507,351,186,87,545,293,11,3279,553,13,904,251,344,112,199,517,0,74,247,23,423,225,85,106,17,177,111,102,83,157,140,168,193,49,105,90,154,76,88,62,0,7579
"G25001703733","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3733",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3733","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","1","0",3120,4,208,61,43,5,0,678,426,0,44,0,101,91,12,0,229,851,226,141,290,100,154,441,193,43,1952,761,24,383,337,384,73,126,330,0,59,121,40,99,52,61,50,27,123,35,71,80,68,81,93,96,105,67,41,116,64,83,97,4,9524
"G25001703734","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3734",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3734","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","1","0","0","1","0","1","0","0",3382,5,239,54,40,38,29,414,190,6,45,27,165,58,19,14,422,1167,201,249,528,102,304,584,193,136,1886,1024,55,417,300,636,88,168,320,7,40,159,0,97,57,30,32,10,65,43,49,104,89,128,69,72,67,110,53,158,50,89,115,22,10069
"G25001703735","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3735",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3735","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0",6606,9,271,60,185,6,35,613,283,4,216,19,754,13,25,12,662,2044,657,738,649,183,492,859,291,307,3426,2471,64,645,585,1276,132,418,297,44,13,237,6,124,43,32,36,24,40,41,59,60,53,98,35,54,66,84,75,149,100,247,407,262,14769
"G25001703736","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3736",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3736","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0",5424,7,370,43,139,49,12,810,278,0,109,24,411,87,0,14,466,1542,281,782,456,235,460,779,279,180,2463,2361,33,567,423,639,37,292,390,77,63,295,0,43,13,4,28,59,68,63,82,75,31,67,27,59,40,70,21,79,62,127,147,212,11209
"G25001703737","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3737",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3737","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0",4893,0,483,41,114,8,29,433,162,33,136,2,463,75,20,27,494,1512,441,420,486,126,404,596,183,263,2864,1594,33,402,426,1070,123,308,340,12,17,174,12,104,6,25,18,24,22,78,43,12,62,57,63,111,89,77,61,109,153,209,285,137,12949
"G25001703738","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3738",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3738","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0",5246,8,350,47,107,71,14,327,492,0,87,0,632,47,0,0,721,1045,593,705,356,115,217,334,109,118,3172,1384,41,649,442,1023,81,267,381,40,4,134,6,162,77,50,55,34,108,84,68,124,108,93,86,144,116,151,99,151,159,165,181,77,11239
"G25001703739","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3739",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5476,6,127,26,148,85,43,106,140,35,145,9,974,7,0,20,717,1017,1366,505,121,61,245,160,10,283,3786,1059,15,616,686,758,75,507,303,20,16,89,6,73,12,25,18,17,22,38,62,77,68,57,36,69,55,90,32,125,137,233,390,377,17041
"G25001703740","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3740",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3740","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0",4419,0,187,24,97,76,27,280,179,0,191,17,737,20,21,13,649,917,449,535,325,99,231,352,96,220,2771,1111,34,503,362,813,80,304,437,0,55,224,0,110,60,10,14,15,34,25,36,40,78,81,31,92,65,111,83,135,120,252,171,63,11876
"G25001703741","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3741",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0",3560,0,161,83,61,0,5,513,473,0,132,7,113,33,32,4,354,1116,166,307,341,243,201,565,172,86,2405,649,46,460,211,408,123,154,340,0,55,181,4,183,115,73,58,16,82,97,67,60,106,153,42,86,67,120,86,133,75,62,45,7,8319
"G25001703742","1980","S","1","1","Massachusetts","25","1120","Middlesex","017","165","2830","3742",,,"07",,,,,,"C",,"4",,,"State: 25 County: 017 Tract: 3742","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0",4344,27,389,82,83,41,15,472,304,5,54,34,242,32,31,23,518,1382,304,306,562,217,388,399,190,89,2387,1435,99,423,420,832,87,203,321,6,40,147,8,101,96,46,30,31,40,75,71,48,81,35,81,51,76,81,107,160,123,196,162,93,11458
